,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ supermodel_v5_hydra,n_sets delta w/ supermodel_v5_hydra,is_FA delta w/ supermodel_v5_hydra
178,roll up fingertips to toes,List A,1094,19,4.36%,73.68%,94.74%,1,0.05,91.54%,169,90.98%,-0.88%,0.00,0.37%
179,shoulder tap on knees,List A,1096,17,18.54%,23.53%,58.82%,0,-2.59,93.14%,211,39.80%,-0.73%,0.00,-0.19%
180,shoulder tap on toes,List A,1098,14,31.09%,0.00%,21.43%,0,-3.93,86.04%,194,48.27%,0.99%,0.00,0.09%
181,side bend kneeling alternating,List A,1106,13,0.64%,92.31%,100.00%,1,-0.08,99.02%,142,81.60%,0.00%,0.00,-0.08%
182,side bend kneeling single side,List A,1105,13,11.44%,23.08%,76.92%,0,-0.54,96.64%,243,82.53%,-2.71%,0.00,0.72%
183,single leg deadlift alternating arms by side,MVP,904,18,7.47%,72.22%,94.44%,1,0.67,94.45%,190,94.17%,0.46%,0.00,-0.03%
184,single leg deadlift alternating arms straight out,MVP,905,18,3.59%,66.67%,94.44%,1,0.17,93.83%,197,96.02%,0.00%,0.00,0.12%
185,single leg deadlift both hands holding one dumbbell,MVP,915,19,1.38%,73.68%,100.00%,1,-0.05,97.33%,294,95.72%,0.00%,0.00,0.01%
186,single leg deadlift opposite side hand dumbbell,MVP,908,11,6.31%,63.64%,90.91%,1,-0.45,96.69%,117,89.74%,0.00%,0.00,0.01%
187,single leg deadlift same leg arms by side,MVP,910,20,1.11%,90.00%,100.00%,1,0.10,95.17%,259,96.87%,0.00%,0.00,0.03%
188,single leg deadlift same side hand dumbbell,MVP,909,13,1.08%,84.62%,100.00%,1,0.00,94.52%,187,94.91%,0.31%,0.00,0.26%
189,snatch alternating,MVP,1107,20,12.93%,45.00%,70.00%,0,0.05,89.36%,205,87.23%,-0.45%,0.00,-0.13%
190,snatch both arms,MVP,1108,10,2.25%,80.00%,100.00%,1,0.20,97.82%,98,97.63%,0.00%,0.00,-0.08%
191,snatch hang,MVP,1110,20,3.63%,90.00%,95.00%,1,-0.25,93.01%,197,96.57%,-0.42%,0.00,-0.61%
192,snatch power,MVP,1112,19,20.73%,5.26%,47.37%,0,-1.58,91.35%,342,94.96%,-0.37%,0.00,-0.20%
193,snatch single arm,MVP,1109,8,32.26%,0.00%,37.50%,0,2.50,97.28%,88,97.07%,-1.39%,0.00,0.40%
194,split squat arms by side,MVP,937,11,11.01%,81.82%,90.91%,0,1.00,98.43%,101,78.17%,3.03%,0.00,0.27%
195,split squat arms out laterally,MVP,938,10,0.00%,100.00%,100.00%,1,0.00,98.24%,97,80.58%,0.00%,0.00,0.05%
196,split squat arms overhead,MVP,940,11,11.13%,54.55%,72.73%,0,0.00,99.21%,109,61.11%,3.18%,0.00,0.44%
